run,model_tag,level,rep,headline_model,mape_pct,rmse_mw,mae_mw,agent_reported_mape,source,alignment,reason
astraos_L1_r2,astraos,L1,2,"50:50 blend of ridge and HistGradientBoosting, chosen over four candidates on pre-2020 rolling backtests",3.628,2509.7,1995.6,,recomputed,timestamp,"the agent's README names outputs/forecast.csv::forecast_mw; recomputed 3.634, nothing reported"
astraos_L1_r3,astraos,L1,3,"50:50 blend of two LightGBM variants, chosen over four baselines on pre-2020 January backtests",4.467,2860.2,2411.9,,recomputed,timestamp,"the agent's report names forecast.csv::forecast_load_mw; recomputed 4.474, nothing reported"
astraos_L2_r1,astraos,L2,1,"HistGradientBoosting (calendar features), chosen on five pre-2020 validation weeks",4.795,3190.5,2592.1,4.79,recomputed,timestamp,the agent's README names outputs/forecast.csv::forecast_mw; recomputed 4.786 vs reported 4.79
astraos_L2_r2,astraos,L2,2,"HistGradientBoosting (calendar only), chosen on five historical validation weeks",2.802,2051.0,1566.4,2.8,recomputed,timestamp,"the agent's README names outputs/forecast.csv::forecast_mw; recomputed 2.802 vs reported 2.80, the best L2 number of the OpenAI arm"
astraos_L2_r3,astraos,L2,3,"HistGradientBoosting (calendar only), chosen on six pre-2020 validation weeks",5.078,3447.7,2810.3,5.08,recomputed,timestamp,the agent's report names outputs/forecast.csv::forecast_mw; recomputed 5.077 vs reported 5.08
astraos_L3_r1,astraos,L3,1,"LightGBM, winner of six by test MAPE as the prompt orders",3.958,2456.8,2041.6,3.96,recomputed,timestamp,the agent's transcript.md and metrics name LightGBM at 3.96 percent and artifacts/lightgbm_forecast.csv::point is its hourly forecast; recomputed 3.958
gpt55os_L2_r1,gpt55os,L2,1,"ridge regression on calendar and lag features, penalty chosen on the test week",4.688,2837.1,2293.4,4.69,recomputed,timestamp,the agent's final message names forecast_de_load_jan2020.csv::forecast_mw; recomputed 4.688 vs reported 4.69
gpt55os_L2_r2,gpt55os,L2,2,ridge regression on calendar features,8.503,5108.1,4471.4,8.5,recomputed,timestamp,the agent's final message names the CSV and column; recomputed 8.501 vs reported 8.50
gpt55os_L2_r3,gpt55os,L2,3,ridge regression on calendar and lag features,4.135,2703.8,2175.8,4.14,recomputed,timestamp,the agent's final message names german_load_forecast_jan2020.csv::forecast_mw; recomputed 4.143 vs reported 4.14
gpt55os_L3_r3,gpt55os,L3,3,"LightGBM, winner of six by test MAPE",5.455,3784.6,3017.8,5.46,recomputed,timestamp,the agent's report names LightGBM at 5.46 percent and code/.artifacts/lightgbm_forecast.csv::forecast is its hourly forecast; recomputed 5.455 vs reported 5.46
opus47_L1_r1,opus47,L1,1,"LightGBM (calendar, holiday and bridge-period features)",3.601,2464.6,1922.0,3.6,recomputed,timestamp,the agent's final message names forecast_2020w1.csv::forecast_MW; recomputed 3.598 vs reported 3.60
opus47_L1_r2,opus47,L1,2,multiplicative day-of-week and hour profile with calendar-day factors and a December level correction,3.319,2037.8,1718.8,3.32,recomputed,timestamp,"the agent's final message names forecast_2020_w01.csv::forecast_mw; recomputed 3.325 vs reported 3.32, and the number is not a forecast made without the answer"
opus47_L1_r3,opus47,L1,3,weekday-weighted day-of-year and hour historical average with an annual trend,7.729,5730.0,4007.8,7.73,recomputed,timestamp,the agent's final message names forecast_jan_week_2020.csv::forecast_MW; recomputed 7.734 vs reported 7.73
opus47_L2_r1,opus47,L2,1,"LightGBM (calendar, holiday and 168 h lag features)",3.47,,,3.47,agent_reported,,no forecast CSV exists; the final message reports MAPE 3.47 percent for the LightGBM forecast in forecast_2020_w01.png
opus47_L2_r2,opus47,L2,2,"LightGBM (calendar features and 168, 336 and 504 h lags)",2.87,,,2.87,agent_reported,,no forecast CSV exists; the final message reports MAPE 2.87 percent
opus47_L2_r3,opus47,L2,3,"LightGBM (calendar features and 168, 336 and 8,760 h lags)",3.13,,,3.13,agent_reported,,no forecast CSV exists; the final message reports MAPE 3.13 percent for LightGBM against 12.78 for the weekly naive
opus48_L1_r1,opus48,L1,1,"LightGBM (calendar, holiday, Christmas-window features and 7, 14 and 364 day lags)",2.916,1949.5,1601.9,2.92,recomputed,timestamp,the agent's final message names forecast_jan2020.csv::forecast_lgbm_MW; recomputed 2.918 vs reported 2.92
opus48_L1_r2,opus48,L1,2,"HistGradientBoosting (calendar and holiday features, 168 h and 364 d lags)",2.799,2019.5,1535.3,2.8,recomputed,timestamp,the agent's final message names forecast_jan2020_week1.csv::forecast_MW; recomputed 2.799 vs reported 2.80
opus48_L1_r3,opus48,L1,3,HistGradientBoosting (calendar and holiday features only),4.409,2800.0,2382.2,4.4,recomputed,timestamp (window shifted -1 h from UTC week),"the agent's final message names forecast_jan2020.csv::forecast_MW; recomputed 4.412 vs reported 4.4, on the Berlin-stamped week"
opus48_L2_r1,opus48,L2,1,"HistGradientBoosting (calendar and holiday features, 168 and 336 h lags)",2.679,1825.9,1446.7,2.68,recomputed,timestamp,the agent's final message names forecast_jan2020.csv::forecast_MW; recomputed 2.683 vs reported 2.68
opus48_L2_r2,opus48,L2,2,"HistGradientBoosting (calendar features, 1 and 2 week and 364 day lags)",3.6,,,3.6,agent_reported,,no forecast CSV exists; the final message reports 3.6 percent against 12.8 for the naive
opus48_L2_r3,opus48,L2,3,HistGradientBoosting (calendar features only),3.57,,,3.57,agent_reported,,no forecast CSV exists; the final message reports 3.57 percent against 9.84 for the profile baseline
opus48_L3_r1,opus48,L3,1,"LightGBM, winner of six by test MAPE as the prompt orders",4.83,,,4.83,agent_reported,,"metrics.json names LightGBM at 4.8285 percent; no per-hour forecast file exists, so the number is carried as agent_reported"
opus48_L3_r2,opus48,L3,2,"LightGBM, winner of six by test MAPE as the prompt orders",4.61,,,4.61,agent_reported,,metrics.json names LightGBM at 4.6115 percent; no per-hour forecast file exists
opus5_L1_r2,opus5,L1,2,"none (session ended mid-run, no forecast written)",,,,,none,,no forecast file exists and the session ended mid-run
opus5_L1_r3,opus5,L1,3,"ridge regression on log load with a calendar analog and temperature proxy, chosen on historical backtests",5.349,3456.3,2872.6,5.35,recomputed,timestamp (window shifted -1 h from UTC week),"the agent's final message names out/forecast_2020_week1.csv::forecast_MW; recomputed 5.35 on the week the file is stamped for, matching the agent's own 5.35"
opus5_L2_r2,opus5,L2,2,"LightGBM (calendar features), chosen on 2019 backtests",4.143,2482.4,2191.8,4.14,recomputed,timestamp (window shifted -1 h from UTC week),"the agent's final message names forecast_2020_week1.csv::forecast; recomputed 4.140 vs reported 4.14, on the Berlin-stamped week"
opus5_L2_r3,opus5,L2,3,"harmonic regression, chosen over LightGBM and a weekly naive",4.804,3290.7,2585.4,4.8,recomputed,timestamp (window shifted -1 h from UTC week),the agent's final message names the harmonic regression at 4.80 percent and forecast_vs_actual.csv carries each model's hourly forecast; recomputed 4.797
opus5_L3_r2,opus5,L3,2,"LightGBM, winner of six by test MAPE as the prompt orders",5.47,,,5.47,agent_reported,,metrics.json names LightGBM at 5.4705 percent; no per-hour forecast file exists
solos_L2_r1,solos,L2,1,"ExtraTrees regressor, chosen over three model classes on historical validation",3.457,2417.7,1872.3,3.46,recomputed,timestamp,the agent's final message names outputs/forecast_results.csv::forecast_mw; recomputed 3.464 vs reported 3.46
solos_L2_r2,solos,L2,2,"LightGBM (calendar and lag features), tuned on historical validation",4.026,2714.2,2233.3,4.03,recomputed,timestamp,the agent's final message names german_load_forecast_2020_week1.csv::forecast_load_mw; recomputed 4.026 vs reported 4.03
solos_L2_r3,solos,L2,3,"LightGBM (calendar and lag features), chosen over five alternatives",3.244,2222.3,1760.6,3.24,recomputed,timestamp,the agent's final message names the CSV and column; recomputed 3.244 vs reported 3.244
gpt55os_L3_r1,gpt55os,L3,1,"none (session ended mid-run, no forecast written)",,,,,none,,no forecast file exists and the session ended mid-run
opus47_L3_r1,opus47,L3,1,"LightGBM, winner of six by test MAPE as the prompt orders",3.24,,,3.24,agent_reported,,metrics.json names LightGBM at 3.2435 percent; no per-hour forecast file exists
opus47_L3_r2,opus47,L3,2,"LightGBM, winner of six by test MAPE as the prompt orders",3.52,,,3.52,agent_reported,,metrics.json names LightGBM at 3.5189 percent; no per-hour forecast file exists
astraos_L3_r3,astraos,L3,3,"LightGBM, winner of six by test MAPE as the prompt orders",3.912,2359.7,1983.0,3.91,recomputed,timestamp,the agent's report names LightGBM at 3.91 percent and artifacts/lightgbm_forecast.csv::point_mw is its hourly forecast; recomputed 3.912
solos_L3_r1,solos,L3,1,"LightGBM, winner of six by test MAPE as the prompt orders",5.31,,,5.31,agent_reported,,metrics.json names LightGBM at 5.3132 percent; no per-hour forecast file exists
solos_L3_r2,solos,L3,2,"LightGBM, winner of six by test MAPE as the prompt orders",5.11,,,5.11,agent_reported,,metrics.json names LightGBM at 5.1054 percent; no per-hour forecast file exists
opus5_L3_r3,opus5,L3,3,"LightGBM, winner of six by test MAPE as the prompt orders",4.99,,,4.99,agent_reported,,metrics.json names LightGBM at 4.9943 percent; no per-hour forecast file exists
opus48_L3_r3,opus48,L3,3,"none (session ended mid-run, no results written)",,,,,none,,no forecast or metrics file exists and the session ended mid-run
solos_L3_r3,solos,L3,3,"LightGBM, winner of six by test MAPE as the prompt orders",5.28,,,5.28,agent_reported,,metrics.json names LightGBM at 5.2806 percent; no per-hour forecast file exists
astraos_L3_r2,astraos,L3,2,"LightGBM, winner of six by test MAPE as the prompt orders",5.115,3639.2,2774.1,5.11,recomputed,timestamp,the agent's report names LightGBM at 5.11 percent and artifacts/lightgbm_forecast.csv::point_mw is its hourly forecast; recomputed 5.114
opus47_L3_r3,opus47,L3,3,"LightGBM, winner of six by test MAPE as the prompt orders",4.45,,,4.45,agent_reported,,metrics.json names LightGBM at 4.4477 percent; no per-hour forecast file exists
